实体,主版,次版
mprobe,3,0
improbe,3,0
mrecv,3,0
imrecv,3,0
ibarrier,3,0
ibcast,3,0
igather,3,0
igatherv,3,0
iscatter,3,0
iscatterv,3,0
iallgather,3,0
iallgatherv,3,0
ialltoall,3,0
ialltoallv,3,0
ialltoallw,3,0
ireduce,3,0
iallreduce,3,0
ireduce_scatter,3,0
ireduce_scatter_block,3,0
iscan,3,0
iexscan,3,0
comm_dup_with_info,3,0
comm_split_type,3,0
comm_create_group,3,0
comm_get_info,3,0
comm_set_info,3,0
win_allocate_shared,3,0
win_create_dynamic,3,0
get_accumulate,3,0
fetch_and_op,3,0
compare_and_swap,3,0
rput,3,0
rget,3,0
raccumulate,3,0
rget_accumulate,3,0
win_lock_all,3,0
win_unlock_all,3,0
win_flush,3,0
win_flush_all,3,0
win_flush_local,3,0
win_sync,3,0
